Tabela_CEST|ITEM|CEST|NCM/SH|DESCRICAO|Legislacao|Vigencia_inicial|Vigencia_final|Aliq_Interna|MVA_Original|MVA_Original_S/Fid|MVA_S/Fid_Aliq_4%|MVA_S/Fid_Aliq_7%|MVA_S/Fid_Aliq_12%|MVA_Original_C/Fid|MVA_C/Fid_Aliq_4%|MVA_C/Fid_Aliq_7%|MVA_C/Fid_Aliq_12%|Funcep|Pauta_Fiscal|MVA_Aliq_4%|MVA_Aliq_7%|MVA_Aliq_12%|Funcep_Bebidas_Gaseificada|MVA_Original_deriv_Petr|MVA_deriv_Petr_Aliq_4%|MVA_deriv_Petr_Aliq_7%|MVA_deriv_Petr_Aliq_12%|MVA_Original_N_deriv_Petr|MVA_N_deriv_Petr_Aliq_4%|MVA_N_deriv_Petr_Aliq_7%|MVA_N_deriv_Petr_Aliq_12%|MVA_Original_Outros_Prod|MVA_Outros_Prod_Aliq_4%|MVA_Outros_Prod_Aliq_7%|MVA_Outros_Prod_Aliq_12%|Funcep_Consumo_maior_100Kw/h|Lista|UF_Signataria|Exterior_UF_nao_Signat.|Ato_Cotepe|Origem_Arquivo|Nome_Aba_Planilha
01|19.0|01.019.00|73110000|Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|20.0|01.020.00|7320|Molas e folhas de molas, de ferro ou aço|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|21.0|01.021.00|7325|Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|22.0|01.022.00|780600|Peso de chumbo para balanceamento de roda|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|23.0|01.023.00|80070090|Peso para balanceamento de roda e outros utensílios de estanho|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|24.0|01.024.00|830120|Fechaduras e partes de fechaduras|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|24.0|01.024.00|830160|Fechaduras e partes de fechaduras|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|25.0|01.025.00|830170|Chaves apresentadas isoladamente|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|26.0|01.026.00|83021000|Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|26.0|01.026.00|83023000|Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
